,date,avgTemp,bike_rides_daily
0,2022-01-01,11.6,20895
1,2022-01-02,11.4,44234
2,2022-01-03,1.4,34126
3,2022-01-04,-2.7,37879
4,2022-01-05,3.2,35080
5,2022-01-06,4.9,46004
6,2022-01-07,0.7,17838
7,2022-01-08,-2.5,25129
8,2022-01-09,1.4,22088
9,2022-01-10,1.6,35717
10,2022-01-11,-5.4,27704
11,2022-01-12,-1.9,41636
12,2022-01-13,4.0,51798
13,2022-01-14,4.8,46837
14,2022-01-15,-6.7,23717
15,2022-01-16,-8.0,21588
16,2022-01-17,3.9,29887
17,2022-01-18,1.8,44045
18,2022-01-19,3.2,55371
19,2022-01-20,5.1,34901
20,2022-01-21,-6.0,35006
21,2022-01-22,-5.9,33018
22,2022-01-23,-0.7,33817
23,2022-01-24,-0.2,42591
24,2022-01-25,3.6,51982
25,2022-01-26,-2.3,43279
26,2022-01-27,-4.2,45058
27,2022-01-28,0.1,35740
28,2022-01-29,-4.8,2927
29,2022-01-30,-7.1,9688
30,2022-01-31,-3.4,22838
31,2022-02-01,-1.7,29993
32,2022-02-02,2.3,42955
33,2022-02-03,6.4,27292
34,2022-02-04,5.8,21072
35,2022-02-05,-2.8,31980
36,2022-02-06,-4.8,30313
37,2022-02-07,0.5,31611
38,2022-02-08,4.1,53493
39,2022-02-09,2.8,57558
40,2022-02-10,6.3,63584
41,2022-02-11,8.6,66310
42,2022-02-12,11.8,70299
43,2022-02-13,2.8,20897
44,2022-02-14,-4.3,35732
45,2022-02-15,-4.7,41940
46,2022-02-16,1.6,55072
47,2022-02-17,11.6,69223
48,2022-02-18,9.9,48407
49,2022-02-19,0.1,33400
50,2022-02-20,-2.6,31959
51,2022-02-21,4.1,53863
52,2022-02-22,5.6,37452
53,2022-02-23,14.4,68175
54,2022-02-24,1.1,46001
55,2022-02-25,0.8,31350
56,2022-02-26,-1.1,42732
57,2022-02-27,2.4,44121
58,2022-02-28,0.8,46930
59,2022-03-01,2.6,57432
60,2022-03-02,7.7,68718
61,2022-03-03,5.6,56795
62,2022-03-04,-1.9,51059
63,2022-03-05,3.1,52695
64,2022-03-06,9.6,55948
65,2022-03-07,18.2,69568
66,2022-03-08,8.7,63778
67,2022-03-09,3.2,28822
68,2022-03-10,4.0,67868
69,2022-03-11,7.2,71017
70,2022-03-12,5.1,20336
71,2022-03-13,-2.3,31815
72,2022-03-14,5.3,64895
73,2022-03-15,11.6,80950
74,2022-03-16,13.6,83460
75,2022-03-17,8.2,51187
76,2022-03-18,13.9,95284
77,2022-03-19,13.1,79685
78,2022-03-20,14.3,67065
79,2022-03-21,10.4,74997
80,2022-03-22,10.7,77201
81,2022-03-23,7.2,62383
82,2022-03-24,5.7,46992
83,2022-03-25,9.6,76966
84,2022-03-26,10.4,63708
85,2022-03-27,5.9,46883
86,2022-03-28,-1.5,39187
87,2022-03-29,-1.2,49720
88,2022-03-30,2.6,62747
89,2022-03-31,9.9,74283
90,2022-04-01,13.1,70244
91,2022-04-02,7.2,74958
92,2022-04-03,7.0,38074
93,2022-04-04,7.6,70671
94,2022-04-05,9.7,74265
95,2022-04-06,8.6,49773
96,2022-04-07,9.1,36284
97,2022-04-08,12.8,90641
98,2022-04-09,11.4,69105
99,2022-04-10,8.6,58595
100,2022-04-11,8.8,77371
101,2022-04-12,13.4,95735
102,2022-04-13,15.4,100803
103,2022-04-14,16.3,92849
104,2022-04-15,15.7,102100
105,2022-04-16,15.7,84084
106,2022-04-17,8.3,55577
107,2022-04-18,7.9,57235
108,2022-04-19,7.6,60480
109,2022-04-20,9.4,87636
110,2022-04-21,10.6,79750
111,2022-04-22,14.6,100005
112,2022-04-23,13.3,96936
113,2022-04-24,12.8,85463
114,2022-04-25,10.4,74762
115,2022-04-26,11.5,76986
116,2022-04-27,11.6,84742
117,2022-04-28,8.2,80806
118,2022-04-29,10.4,89424
119,2022-04-30,12.9,104259
120,2022-05-01,13.6,97344
121,2022-05-02,12.1,56229
122,2022-05-03,12.4,95263
123,2022-05-04,12.0,81915
124,2022-05-05,17.2,113394
125,2022-05-06,14.8,36211
126,2022-05-07,10.0,21271
127,2022-05-08,10.4,65005
128,2022-05-09,13.5,96836
129,2022-05-10,15.4,107649
130,2022-05-11,16.1,110056
131,2022-05-12,17.1,113665
132,2022-05-13,16.0,98440
133,2022-05-14,17.9,81802
134,2022-05-15,18.8,111373
135,2022-05-16,20.4,81406
136,2022-05-17,19.7,120376
137,2022-05-18,17.8,120400
138,2022-05-19,15.5,92433
139,2022-05-20,15.4,87405
140,2022-05-21,21.2,118165
141,2022-05-22,27.8,106060
142,2022-05-23,21.0,103820
143,2022-05-24,17.4,107315
144,2022-05-25,16.2,116909
145,2022-05-26,16.4,113837
146,2022-05-27,20.2,91251
147,2022-05-28,20.4,84854
148,2022-05-29,20.7,103741
149,2022-05-30,23.3,103218
150,2022-05-31,28.3,102957
151,2022-06-01,17.8,90340
152,2022-06-02,20.3,101166
153,2022-06-03,19.5,123870
154,2022-06-04,21.9,130555
155,2022-06-05,20.0,118762
156,2022-06-06,22.2,113007
157,2022-06-07,21.8,106620
158,2022-06-08,23.7,127068
159,2022-06-09,24.4,117823
160,2022-06-10,21.8,125467
161,2022-06-11,21.8,118389
162,2022-06-12,20.5,92658
163,2022-06-13,24.2,114418
164,2022-06-14,23.9,126657
165,2022-06-15,23.3,131188
166,2022-06-16,20.3,104936
167,2022-06-17,25.2,122881
168,2022-06-18,21.7,111681
169,2022-06-19,17.3,108688
170,2022-06-20,20.5,117156
171,2022-06-21,22.1,102116
172,2022-06-22,19.1,97198
173,2022-06-23,19.2,120734
174,2022-06-24,21.9,127645
175,2022-06-25,25.8,121606
176,2022-06-26,27.0,109080
177,2022-06-27,24.3,81972
178,2022-06-28,22.4,124745
179,2022-06-29,23.9,124885
180,2022-06-30,25.4,119572
181,2022-07-01,28.1,106512
182,2022-07-02,28.7,91281
183,2022-07-03,26.9,91987
184,2022-07-04,25.6,97590
185,2022-07-05,25.9,91452
186,2022-07-06,26.0,116243
187,2022-07-07,24.2,118010
188,2022-07-08,23.5,101322
189,2022-07-09,24.7,126534
190,2022-07-10,23.4,118774
191,2022-07-11,24.0,114714
192,2022-07-12,25.8,115157
193,2022-07-13,28.9,124307
194,2022-07-14,26.6,123861
195,2022-07-15,26.1,122804
196,2022-07-16,24.3,114688
197,2022-07-17,25.7,114103
198,2022-07-18,26.2,85976
199,2022-07-19,28.2,123335
200,2022-07-20,31.3,121408
201,2022-07-21,29.8,112282
202,2022-07-22,30.9,115384
203,2022-07-23,30.3,110836
204,2022-07-24,31.1,102668
205,2022-07-25,29.8,99366
206,2022-07-26,25.9,126208
207,2022-07-27,25.5,128834
208,2022-07-28,26.7,121009
209,2022-07-29,28.2,118209
210,2022-07-30,26.7,126697
211,2022-07-31,26.3,115839
212,2022-08-01,23.1,101128
213,2022-08-02,26.4,124550
214,2022-08-03,27.6,128648
215,2022-08-04,29.1,121530
216,2022-08-05,29.3,117754
217,2022-08-06,29.6,126469
218,2022-08-07,29.6,97764
219,2022-08-08,30.3,107354
220,2022-08-09,31.3,112465
221,2022-08-10,27.2,127251
222,2022-08-11,26.6,117476
223,2022-08-12,25.6,126404
224,2022-08-13,23.1,135884
225,2022-08-14,24.0,114891
226,2022-08-15,24.3,115123
227,2022-08-16,23.6,126078
228,2022-08-17,23.6,123933
229,2022-08-18,24.1,125828
230,2022-08-19,26.3,124513
231,2022-08-20,27.9,132446
232,2022-08-21,25.3,113652
233,2022-08-22,24.5,88537
234,2022-08-23,25.9,122067
235,2022-08-24,26.9,126560
236,2022-08-25,28.1,123828
237,2022-08-26,27.4,111955
238,2022-08-27,27.8,121289
239,2022-08-28,24.6,110912
240,2022-08-29,26.0,111304
241,2022-08-30,26.8,116826
242,2022-08-31,25.6,126890
243,2022-09-01,25.9,125121
244,2022-09-02,21.7,119742
245,2022-09-03,22.8,110856
246,2022-09-04,25.3,102298
247,2022-09-05,25.8,96611
248,2022-09-06,23.3,42000
249,2022-09-07,20.8,116330
250,2022-09-08,21.8,138383
251,2022-09-09,21.9,137341
252,2022-09-10,23.6,138363
253,2022-09-11,23.2,69610
254,2022-09-12,22.4,118430
255,2022-09-13,24.7,125741
256,2022-09-14,22.9,138737
257,2022-09-15,21.8,135997
258,2022-09-16,19.6,135292
259,2022-09-17,20.8,134089
260,2022-09-18,23.4,119804
261,2022-09-19,25.6,105746
262,2022-09-20,23.2,133629
263,2022-09-21,22.0,137221
264,2022-09-22,21.8,105017
265,2022-09-23,15.1,116488
266,2022-09-24,14.5,116340
267,2022-09-25,19.2,89222
268,2022-09-26,19.4,108384
269,2022-09-27,19.7,119683
270,2022-09-28,17.2,127208
271,2022-09-29,16.6,124750
272,2022-09-30,14.5,118690
273,2022-10-01,14.8,61578
274,2022-10-02,15.2,53214
275,2022-10-03,11.5,50912
276,2022-10-04,10.3,53720
