,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
1414524,Central Park S & 6 Ave,Central Park S & 6 Ave,40.76590936,-73.97634151,40.76590936,-73.97634151,12480
642086,7 Ave & Central Park South,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221,8957
3794063,Roosevelt Island Tramway,Roosevelt Island Tramway,40.757284,-73.9536,40.757284,-73.9536,8283
2747279,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,40.7643971,-73.97371465,7790
1252913,Broadway & W 58 St,Broadway & W 58 St,40.76695317,-73.98169333,40.76695317,-73.98169333,7443
5013537,West St & Chambers St,West St & Chambers St,40.71754834,-74.01322069,40.71754834,-74.01322069,7193
510434,5 Ave & E 72 St,5 Ave & E 72 St,40.77282817,-73.96685276,40.77282817,-73.96685276,7054
3880554,Soissons Landing,Soissons Landing,40.69231660719192,-74.01486575603485,40.69231660719192,-74.01486575603485,6975
149726,12 Ave & W 40 St,12 Ave & W 40 St,40.76087502,-74.00277668,40.76087502,-74.00277668,6921
1448610,Central Park West & W 72 St,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987,6075
4357446,W 21 St & 6 Ave,9 Ave & W 22 St,40.74173969,-73.99415556,40.7454973,-74.00197139,5987
42477,1 Ave & E 62 St,1 Ave & E 68 St,40.7612274,-73.96094022,40.76500525,-73.95818491,5479
1407978,Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,40.799484,-73.955613,5386
3565527,Old Slip & South St,South St & Gouverneur Ln,40.70336686695866,-74.007867872715,40.70355377,-74.00670227,5217
3827153,S 5 Pl & S 5 St,S 5 Pl & S 5 St,40.710451,-73.960876,40.710451,-73.960876,5089
1440988,Central Park West & W 68 St,Central Park West & W 68 St,40.7734066,-73.97782542,40.7734066,-73.97782542,5077
5113426,Yankee Ferry Terminal,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666,5039
524220,5 Ave & E 87 St,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,40.78232260730881,-73.95987510681152,4988
1208266,Broadway & W 41 St,Broadway & W 41 St,40.75513557,-73.98658032,40.75513557,-73.98658032,4845
4978154,West Drive & Prospect Park West,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,40.6610633719006,-73.97945255041122,4686
5022301,West St & Liberty St,West St & Liberty St,40.711444,-74.014847,40.711444,-74.014847,4623
1466752,Centre St & Chambers St,Centre St & Chambers St,40.71273266,-74.0046073,40.71273266,-74.0046073,4562
52554,1 Ave & E 68 St,1 Ave & E 68 St,40.76500525,-73.95818491,40.76500525,-73.95818491,4546
3538189,Norfolk St & Broome St,Henry St & Grand St,40.7172274,-73.98802084,40.714211,-73.981095,4489
5009543,West St & Chambers St,Pier 40 - Hudson River Park,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603,4411
3549144,North Moore St & Greenwich St,Vesey St & Church St,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846,4405
124443,11 Ave & W 41 St,11 Ave & W 41 St,40.76030096,-73.99884222,40.76030096,-73.99884222,4212
2078475,E 33 St & 1 Ave,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,40.74322681432173,-73.97449783980846,4135
4365919,W 21 St & 6 Ave,W 22 St & 10 Ave,40.74173969,-73.99415556,40.74691959,-74.00451887,4052
5113313,Yankee Ferry Terminal,Soissons Landing,40.68706579875912,-74.01675585121666,40.69231660719192,-74.01486575603485,4006
