,start_station_name,value
1582,W 21 St & 6 Ave,131679
1712,West St & Chambers St,126290
494,Broadway & W 58 St,117797
286,6 Ave & W 33 St,109542
8,1 Ave & E 68 St,108412
460,Broadway & E 14 St,101115
484,Broadway & W 25 St,100784
1506,University Pl & E 14 St,100089
462,Broadway & E 21 St,97958
1598,W 31 St & 7 Ave,96157
786,E 33 St & 1 Ave,93955
588,Cleveland Pl & Spring St,92880
29,12 Ave & W 40 St,92550
287,6 Ave & W 34 St,92487
24,11 Ave & W 41 St,90159
1713,West St & Liberty St,89417
1102,Lafayette St & E 8 St,89318
560,Central Park S & 6 Ave,89062
328,8 Ave & W 33 St,88789
794,E 40 St & Park Ave,87752
